Title,Rating,Information
Kuroko no Basket 3rd Season,8.32,"        TV (25 eps)        Jan 2015 - Jun 2015        556,399 members      "
Bakemono no Ko,8.31,"        Movie (1 eps)        Jul 2015 - Jul 2015        327,483 members      "
Beck,8.31,"        TV (26 eps)        Oct 2004 - Mar 2005        270,551 members      "
Diamond no Ace: Second Season,8.31,"        TV (51 eps)        Apr 2015 - Mar 2016        107,479 members      "
Nodame Cantabile,8.31,"        TV (23 eps)        Jan 2007 - Jun 2007        270,671 members      "
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"        TV (94 eps)        Jan 1996 - Sep 1998        404,112 members      "
Tsubasa: Tokyo Revelations,8.31,"        OVA (3 eps)        Nov 2007 - Mar 2008        84,024 members      "
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.31,"        Special (1 eps)        Jul 2018 - Jul 2018        204,957 members      "
Planetes,8.3,"        TV (26 eps)        Oct 2003 - Apr 2004        203,810 members      "
Stranger: Mukou Hadan,8.3,"        Movie (1 eps)        Sep 2007 - Sep 2007        272,798 members      "
Yuukoku no Moriarty 2nd Season,8.3,"        TV (13 eps)        Apr 2021 -         100,663 members      "
Detective Conan Movie 06: The Phantom of Baker Street,8.3,"        Movie (1 eps)        Apr 2002 - Apr 2002        61,975 members      "
Kono Subarashii Sekai ni Shukufuku wo! 2,8.3,"        TV (10 eps)        Jan 2017 - Mar 2017        1,098,922 members      "
Gin no Saji 2nd Season,8.29,"        TV (11 eps)        Jan 2014 - Mar 2014        124,683 members      "
Hibike! Euphonium 2,8.29,"        TV (13 eps)        Oct 2016 - Dec 2016        174,915 members      "
Kawaki wo Ameku,8.29,"        Music (1 eps)        Jan 2019 - Jan 2019        19,275 members      "
Koukaku Kidoutai,8.29,"        Movie (1 eps)        Nov 1995 - Nov 1995        491,525 members      "
Quanzhi Gaoshou Specials,8.29,"        ONA (3 eps)        Apr 2018 - May 2018        84,367 members      "
Redline,8.29,"        Movie (1 eps)        Aug 2009 - Aug 2009        281,126 members      "
Tenkuu no Shiro Laputa,8.29,"        Movie (1 eps)        Aug 1986 - Aug 1986        361,506 members      "
Tokyo Godfathers,8.29,"        Movie (1 eps)        Nov 2003 - Nov 2003        211,741 members      "
Tonari no Totoro,8.29,"        Movie (1 eps)        Apr 1988 - Apr 1988        786,922 members      "
No Game No Life: Zero,8.28,"        Movie (1 eps)        Jul 2017 - Jul 2017        659,137 members      "
Nomad: Megalo Box 2,8.28,"        TV (13 eps)        Apr 2021 -         110,955 members      "
Re:Zero kara Hajimeru Isekai Seikatsu,8.28,"        TV (25 eps)        Apr 2016 - Sep 2016        1,641,763 members      "
